size,md2,md5,sha1,sha256,ehash
1,0.000016,0,0.000002,0.000002,0.000018
2,0.000016,0,0.000002,0.000002,0.000018
4,0.000016,0.000001,0.000002,0.000001,0.000018
8,0.000016,0,0.000002,0.000001,0.000018
16,0.000024,0,0.000002,0.000001,0.000017
32,0.000031,0.000001,0.000001,0.000002,0.000017
64,0.000046,0.000002,0.000003,0.000003,0.000017
128,0.000078,0.000002,0.000004,0.000004,0.000018
256,0.00014,0.000003,0.000008,0.000006,0.000019
512,0.000274,0.000006,0.000018,0.000012,0.000021
1024,0.000533,0.00001,0.000026,0.000023,0.000032
2048,0.001083,0.000024,0.000068,0.000078,0.000043
4096,0.002001,0.000038,0.000099,0.000086,0.000097
8192,0.004031,0.000074,0.000195,0.00017,0.000072
16384,0.008135,0.000192,0.000524,0.000659,0.000184
32768,0.010085,0.000177,0.000475,0.000489,0.000099
65536,0.011441,0.000231,0.000615,0.000697,0.000221
131072,0.01649,0.00028,0.000714,0.000621,0.000215
262144,0.029404,0.000543,0.001433,0.001234,0.000406
524288,0.058668,0.001085,0.002852,0.002468,0.00081
1048576,0.117345,0.002209,0.005785,0.004952,0.001642
2097152,0.234884,0.004251,0.011139,0.010131,0.003179
4194304,0.470677,0.00882,0.022902,0.021283,0.007974
8388608,0.942315,0.017502,0.047305,0.039747,0.01365
